word,id,mark,definition,pronunciation,example
continence,f103ef42-f1b9-41bb-95f6-048cc0781668,false,self-restraint from yielding to impulse or desire,,
contingent [on]; contingency,94555792-438a-44db-8258-a5b2ffda6f47,false,dependent on conditions or occurrences not yet established; conditional; dependent; possible,,
continuation,8055f2bd-110a-4e1b-8c5b-8da2294a6289,false,,,
continuum,faf538cb-7c54-4491-b46d-9d9901281340,false,a continuous whole without clear division into parts,kun TIN yoo um; feeling-thinking continuum; active-observant continuum,
"contort, contortions",2461c060-fa1e-4f16-bf56-77892335fae8,false,,,
contort; contorted,a8a84c7e-b592-4d71-aef2-d4da56518dec,false,,,
contoured,19f39353-3165-44f3-a342-990da3045716,false,,,
contraband,141fe1b8-3575-4dc3-b9b6-cd40438cf588,false,"goods or merchandise the importation, exportation, or sometimes possession of which is forbidden; also, smuggled goods",,
contract; contraction,6f021e38-9d8c-4481-b732-b1cdc5938240,false,,antonym: expand,
"contradict, contradiction; contradictory",7034225e-6947-425a-abfb-c8b71c9a89c9,false,,,
contrary [to],57771432-2613-4eaf-8ccc-fe8f7a1dbc12,false,,,
"contrast, contrasts, contrasted",de0aedae-a780-4164-bedd-5cc16c95b68b,false,vary or diverge from,"contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)contrast to (pertaining to opposites);
contrast with (pertaining to differences)",
contrastive,133f039b-9207-4c5a-b5c1-c40a9407836b,false,,,
contrasts,0aa092e8-0c2a-42e3-94c7-840a9f6ad94f,false,,,
contravene,cc9e1c0b-adeb-4f6b-9136-584a91a9de6a,false,"to go or act contrary to; obstruct the operation of; infringe, disregard; oppose in argument; contradict, dispute",,
contributable,4c9f4a4b-0456-415e-bfc7-a3a2609c9c74,false,,,
contrite; contrition,e5b63174-b8e6-4abc-8d75-c4c29a045b68,false,deeply apologetic; remorseful; sincere penitence; deep remorse,kun TRYTE,
contrive; contrived; contrivedness; contrivance,ccb73200-a497-46b9-b858-fd8b213725f0,false,to plan with ingenuity; devise; invent; to plot; artificial; labored,an air of artificiality or contrivedness about the matter,
controversial; controversy,45b63713-477f-4618-852f-c307cd74df63,false,,uncontroversial,
controvert,1278ae90-8d21-4464-9e92-1ac326a0b628,false,to dispute or oppose by reasoning,,
contumacious,67391201-f902-45ff-a237-46e8b6530e96,false,stubbornly rebellious or disobedient,,
conundrum,59ab51bf-f715-457f-8c73-bdffd52d79e3,false,a puzzle or riddle without a solution,kuh NUN drum,
convection,0167ce20-259d-4111-83a7-8851f191207c,false,,,
convene,a4255ed8-929b-49f3-9dc2-9d1d98e2ebd8,false,to gather together; to assemble; to meet,kun VEEN,
conventional,d28c2f8e-ec74-4274-8ae5-02fe3eff6054,false,common; customary; unexceptional,,
"converge, convergent, convergence",0dfa02a3-ad9a-41ca-8a53-6f439941a242,false,,antonym: diverge; divergent,
conversant,d0b360f6-e293-4b73-bd53-ee2776742e41,false,,,
converse,63b08601-eaf2-43f9-b89d-2623e885818e,false,the opposite,KAHN vurs,
convex; affine,55cd6f98-a6cc-4f6c-ab80-14a45ba474e1,false,,,
"convey, conveyed",8922d030-2b4e-4938-9fba-f2da8d1e466c,false,,convey the impression that ~,
convince; convinced,2e83ea53-cdf3-47eb-9d6c-319176c03997,false,,,
convivial; conviviality,e1ec445a-fecd-4dbf-aa9e-38bcfc3de20c,false,fond of partying; festive,,
convocation,f5563957-7ae6-4a27-aec1-4568745a8c88,false,,,
convolute; convoluted; convolution,ad81b3c0-0365-45ce-ba87-d4dba10aa1c8,false,intricate; complex; a twist or turn; complicated,kahn vuh LOOT,
"convulse, convulsions",20e743ea-cd3f-457a-897a-677e9fd00c88,false,,,
convulse; convulsive,d006d3cc-918f-4da0-97f6-8995ab189ca1,false,,,
convulsive,226e2ca7-7b76-423b-a1ef-07f5245a79e4,false,,,
"copious, copiously",50b160b5-dade-4f93-a16e-900c30d9f542,false,large in quantity or number; abundant; plentiful,KOH pee us,
copula,48ed37c0-cb2d-4bd0-92f4-31519f6a1177,false,,,
cordial; cordially,1b62e439-ce25-455e-9a25-0fd62f0f3a7a,false,,,
core,89cbb503-6e49-4c16-ab2e-6a7ceb63e04c,false,,,
"corellates, correlated",fb49ce7a-9906-457c-b849-c8dc397d2ab2,false,,,
cornerstone,f9a831b6-38c4-4292-9b63-92a6e605c1c3,false,,,
corollary,4b9f3d8a-6850-4d62-ab5a-eaef7b5973d3,false,something that follows easily and obviously; a natural consequence; easily drawn conclusion,KAWR uh ler ee,
correspond; correspondence,3dac99fe-abf5-4185-acdd-8f7541dc4540,false,,,
corridor,bfbeb54c-1bb8-4dfb-9b49-eb05bb6c9666,false,,,
corrigible,c431babb-edf0-4005-a7b6-7f2316a48b83,false,"capable of being corrected, improved, or reformed.",Corrigible offenders should be separated from hardened criminals.,
corroborate,ea9e3891-2c9b-4523-ad36-81f4a8b05109,false,,,
corroborate; corroborative,5f56419e-2fae-4c7c-8eb1-01e10da34b8a,false,to confirm; to back up with evidence,,
corrosive,44c6d499-85ab-4d97-a13d-24839cf0a1fa,false,eating away; destructive,kuh ROH siv,
corrugated,fe762c30-de18-4e59-8e0d-228b3c3d633f,false,shaped with folds or waves,KAWR uh gay tud,
cosmetic,6ef8cb12-eccf-4202-92ce-1da841ce6170,false,,,
cosmic,fb959922-d292-42ac-9e5b-e57cb380d4ea,false,,,
cosmopolitan,fba72259-8cc8-4acb-a7f8-e49645296fe9,false,at home in many places or situations; internationally sophisticated; wordly,,
cost,1e0ce402-85e5-4515-82c7-86ab6dc52e7c,false,,antonym: benefit,
coterie,1a0ad507-61b1-4af0-bdd0-27a4bd751511,false,a circle of close associates or friends; a small group of people with shared interests or tastes,KOH tuh ree,a coterie of managers and coaches; a coterie of fans; a small coterie of critics
couch; couched,04d68e3e-bb14-48a9-b975-02e0b64c4db3,false,,,
countenance,f6fe8e9b-c4a6-474d-8914-fb9ad5b6bc2c,false,"face; facial expression, especially an encouraging one",KOWN tuh nunz,The submarine commander's countenance belied his true feelings of anxiety and fear.
counterargument,85c26e57-6302-41c4-a94e-ede313f7ae72,false,,,
counterintuitive; unintuitive,07a60b07-6a00-420b-bd75-e4af4f7f803f,false,,"Relying on the evidence, or being “empirical,” is under appreciated because it is sometimes counterintuitive",
counterpart; counterparts,fe507a86-1283-482a-8566-4f0861561aa7,false,,,
coup,d8b4b34c-aa5d-490a-a3d1-fcb9f9574b85,false,brilliant victory or accomplishment; the violent overthrow of a governement by a small internal group,koo,
"couple, coupled",8cbe4dda-2dc5-4bdd-b2d3-c10e020703ff,false,,,
covenant,0de5f40f-e09e-4c78-b95a-7f2db7ca8042,false,a solemn agreement; a contract; a pledge,,
covert; covertly,d8fda1d1-fb4b-479e-a251-2eaa6e5b0b65,false,secret; hidden,,
"covet, covetted",79ed62b0-de0a-4390-b99e-69b8c34ee536,false,,,
covet; coveted [by]; covetous,acbeb0f2-755f-49aa-830e-a1c9459df6f7,false,to wish for enviously,,
covetous,57ee11a3-1474-4466-b3d3-b34892aecbf1,false,,,
cower; cowered; cowering,c69f8062-46f4-46d8-b57c-8804b4e00e8f,false,to shrink away or cringe in fear,KOW ur,"Bessie, the cowering cow, never could stand the sight of her own milk.; The villians cowered in fear.; He cowered in frustration."
coy; coyly,272a7fe1-aa7b-4682-bcbb-1450dfdaf9c9,false,"evasive, tending to avoid people and social situations; reserved, Annoyingly unwilling to make a commitment",,
cradle,2c354989-379b-4d6b-bc84-572d9d3cf2eb,false,,,
"craft, crafted",b11f1881-34b2-4e0b-bfa3-3e26b4aa07d4,false,,,
crass,461389cc-a58f-4ae6-a0d2-0e13ab2c016b,false,extremely unrefined; gross; stupid,,
creaking,ebc84704-be1d-4836-b455-c14e8b406a92,false,,,
credence,de907736-c70e-4f62-9205-d2162f36a0d4,false,"faith, belief, esp. in the reports of testimony of another",One could have little credence in the word of a known swindler.,
credible,6ad42d09-5c68-4452-839f-ae8c30dac6a0,false,,,
creditable,1682f50b-8ad6-46c2-9eeb-0c00a7a93d82,false,worthy of credit or praise,,
credulity; incredulity,f5b4738d-43f0-4375-9165-445e50b76ac2,false,"willingness to believe or trust too readily, especially without proper or adequate evidence",kreh DOO li tee,
credulous; credulously,62d24cfe-7e50-4b5e-a24f-d6398b850329,false,"eager to believe; gullible; ready or inclined to believe, especialy on slight or uncertain evidence",,
creep,8cdb18bb-79c0-4e88-af21-eca544f0d0bf,false,,,
crescendo,5a3febd6-abcf-4f90-95a8-37907124ae2d,false,a gradual increase in the volume of a sound; a gradual increase in the intensity of anything,,
crevice,f2d13419-d7b5-4c21-b650-31061fa30d4c,false,"a narrow split, crack, or fissure",KREV us,
cringe,0857c68e-511a-4254-b81a-9b7ff74f993a,false,to shrink back with fear; to cower; to be servile or suck up in a horrible way,krinj,
crisp,eaf2a12d-8246-414f-a443-6d255400fd5a,false,,,
criterion; criteria,66abae1a-c96d-4a83-b946-84c00393efea,false,standard; basis for judgment; singular of criteria,kry TEER ee un,
criticize,d267dabd-f525-48a6-8aac-8c00b9abc58e,false,,,
crosstalk,6c9a8e2e-a6e1-4d0b-9086-a5a34d99df65,false,,,
crucial; crucially,31dc5152-5142-408f-aca8-93b18bb7c36b,false,,,
crude; crudely,3f7c3496-1072-4c93-8d23-e634f370a3eb,false,blunt or offensive; being in an unrefined or natural state,,
crutch,1535d84e-bad1-4f45-8957-49dde38fa327,false,,,
crux,269cafae-df8b-4916-8c38-5ce2ccd42895,false,the central point; the essence,kruks,
cryptic,46ef11b1-4a7e-4f58-b86c-21c52705a9b4,false,"mysterious; mystifying; having a hidden meaning, perhaps even impenetrable",,
cue,715c3f17-1cda-4e23-a81f-e409311cc249,false,,,
cull [from]; culling; culled,57de01f3-7428-411c-839f-ef816c67a0f6,false,"to gather, collect, or amass",KULL,
culminate; culmination; culminating,9c51c354-2ecb-443d-a7d0-0d6572ad85df,false,to climax; to reach full effect,culmination point,
culpable,b611616d-1663-44f0-9b95-468d3b4c944c,false,deserving blame; guilty,,
cultivate; cultivation,a9ba09ad-7ef5-44a5-9fd4-b1e5de73c734,false,,,
cumber,b9aaa2d4-d730-4c1a-bdc2-72f7dcc0987b,false,,,
cumbersome,70a0e597-fd19-4dbd-9efd-de51a9a2a38e,false,difficult; burdensome,CUM ber sum,
cunning,0236270c-c1d5-4000-a0f2-839e268b67a7,false,,,
curb; curbed; curbing,a1936cd2-cc5b-427a-9127-cfa1660826a8,false,,,
curious; curiosity; curiousness; curiously,ce3d40d0-2347-43d7-9cc0-54810a8f3ed7,false,beyond or deviating from the usual or expected (funny/odd/peculiar/strange/unusual); eager to investigate and learn or learn more (interested/inquiring/inquisitive/wondering),,
current,4024554e-c2b2-4514-a1c7-a8c36a9bdbf8,false,,,
cursory; cursorily,36e5438c-cec2-4b6f-98e9-7fc82b704a72,false,hasty; superficial; quick and unthorough,KUR suh ree,
curtail,d6d0323a-a4e2-43a8-8726-a2b0ad137ae6,false,"to shorten; to cut short; to truncate or abridge; to lessen, usually by cutting away",kur TALE,We should curtail any further discussion until she arrives.; the knee injury curtailed his sports career
"custodian, custodial",6bc54f09-c407-46d1-b073-4af8ebc38d9c,false,,,
custody; custodies,b70cb7f7-186b-452f-bcec-787dda327641,false,,,
cynical,99d45dae-2aaa-46cc-9687-f25db87d5373,false,deep distrust of human nature; sarcastic; sneering,"vs. skeptical (not easily persuaded, doubting)",
damages,68670ad2-3a95-42d1-ab0f-1b14bcf9126f,false,,,
Darwin-esque,6922af60-20fd-491a-9a50-4bc623aabff9,false,,,
daunt; daunting,be993a9a-7bcb-4be6-afa2-cce3e4cc1cc6,false,make fearful; to intimidate,,
dazzle; dazzling,c2de1dc1-348c-4c3e-aebf-804d19493b1d,false,stunning,,
dearth,16d270a0-5146-4791-b289-37c18a991691,false,"lack, scarcity",durth,There is a dearth of earth in the middle of the ocean.; A dearth of rain last summer led to many failed crops.; a dearth of playwrights
debacle,40a90e84-55ed-415b-a160-39e059b695e3,false,disastrous or ludicrous failure; complete collapse; failure; violent breakdown; fiasco,dih BAH kul,What a debacle.; the financial debacle
"debauche, debauching",ea2d60b4-42c7-409b-baea-648b785aa12b,false,"to corrupt by sensuality, intemperance; seduce",,
debauchery,4dd4b517-232e-4323-9a00-ab8d54d04af9,false,wild living; excessive intemperance,,
debilitate; debilitating,581ab3d9-b571-4770-a530-80744bf98bf9,false,to weaken; impair the strength of,duh BIL i tayt,
decadent,40d87c3d-3486-4373-ae4b-c3257f1d7dfb,false,"decaying or decayed, especially in terms of morals",,
deceit,5f73aa71-92e1-440c-aeaa-09802482f67c,false,,,
decelerant,4b6ac7eb-9fe4-490c-8fb1-44a447e8f9bf,false,,,
deceptive,77bcff5f-031c-4975-b170-ef9e9cd354c4,false,,,
decidely,0e19d4ad-d220-48b0-a206-c547a44ff5d5,false,free from doubt or wavering,,
decimate,c6538ea8-1ca4-4b44-bf8d-88fb8e0dedfa,false,to kill or destroy a large part of,,
decisive,149d883f-8138-40d5-83bf-1dc0063c2ad2,false,the ability to make decisions quickly and clearly,,
declare,5cf91343-1638-4311-89c2-9f0aeea45111,false,,,
declination,292b6318-6d45-4b7f-8d08-8affc7338a86,false,,,
decorous; decorum,7596c18d-1af6-4603-b73c-c1a854286157,false,"marked by propriety and good taste, especially in conduct, manners, or appearance",rules of decorum,
decrepit,3a64de93-4cc0-4e38-a97d-fa8f4d6f849f,false,worn out or ruined because of age or neglect; dilapidated; rickety; wornout;,,
decry; decried,4f7116ec-6301-43b1-9248-f40e90eb1936,false,criticize; condemn,,
deduce; deduction; deductive,89b947eb-2e94-495d-82cf-993d4221a0bc,false,to come to a conclusion by reasoning from the evidence; to infer,dee DOOS,we deduced that
deed,866c679c-626f-429f-a64e-2542609c2e5c,false,,,
deep; deeply,ef593076-e76a-490e-a41e-7b3808da9088,false,,deeply entrenched,
deepen; deepened,843b92d8-86b2-4ad0-9561-9e4bf81c2fc7,false,,,
deeper pockets,f1364512-c4ed-453f-a664-436dd3d17fa4,false,richer,,
deep-rooted,1c1db14a-edc3-47a4-929b-84f4f33f6b6e,false,,,
deep-seated,9d54940e-2d17-4b22-a35d-73352a3e6101,false,,,
defect,4608eb00-0fc6-49ec-833b-036d2e054327,false,,,
"defect, defector",afc91a6d-6859-496f-9e33-2506bed862a7,false,,,
defective,c8557faf-21b5-4dd1-92ac-e37430f04798,false,,,
defendant/plaintiff,5900b446-8525-43a2-83f0-56453f498775,false,,,
defer,dd55bf9c-bb0b-43f2-8b48-464b52c782f9,false,,,
"deferent; deference [to], deferential",8ec033a2-d441-46ef-a067-781eb5ca71b9,false,humble submission or respect,,
deferential,e8becd6e-96c6-4f2f-b882-b2ed624b93a6,false,,,
defiantly,6ec5288e-2f5d-477c-aa2f-f21405afd29d,false,,,
defiantly,49803ca2-cad0-43b1-8a40-4518f59e03ed,false,,,
deficient; deficiency,79dbd716-db20-4074-9616-a39e98b79541,false,(antonym: excess),,
deficit,5f353ce6-b1bf-4730-a017-5a582149189d,false,"a shortage, especially of money",DEF uh sit; the deficit mounts,
defile,bbece671-1138-4a73-8f2a-ce367a067b6e,false,,,
definite,953f454b-4f24-4d61-b90f-97d33a388e89,false,precise and clear in meaning,,
definitive; definitively,209a1d3f-e01d-4cf1-a4d2-20cb07af5383,false,decisive; conclusive; conclusive; providing the last word,,
contour,7e5cb7d6-c798-41b5-9916-1ebd3debbcb9,false,,,
deflate; deflated,4a9a27bc-3f3f-4c6e-b7d2-7bd75a6ffadd,false,,,
deflect,63b3ee8c-982c-45b4-9beb-1e1ff0039d62,false,,,
deft; deftly,d0de587e-a759-47b6-b354-895881469f68,false,skillful; dexterous,deft,"The deaf are deft at reading lips.; deftly avoided me; In one deft move, the policeman subdued the thief and took him to the ground.; so deft with a  pack of cards"
defunct,cc4537b6-95a8-49b0-bece-78082a4a2e4d,false,,,
defunct,760704d0-1d7d-47a0-97bc-f1bdfeb2be9b,false,no longer existing or functioning,deh FUNKT,
defuse,b583fbdd-1b68-4d70-b20d-3cd370404ef0,false,,,
defused,80e85ba9-c45c-4e84-929d-bb7d5db164f9,false,,,
defy; defied,5ef122da-87ac-4e0f-b7e3-84a83ab1a5e3,false,"resist, challenge",,
degenerate,8f75b888-02d6-477f-98d1-7bf6f174f56f,false,to break down; deteriorate,,
"degrade, degredation",66000e6d-168a-4880-bf0e-17910f9b5819,false,,,
deign,d0562284-ce6b-41ed-b9c8-5233360a91b5,false,,,
dejected; dejection; deject,c8c2cf45-488a-41fb-91ad-438b23849baa,true,depressed; disheartened; sad,di JEK tid,
delectable,bef59761-a6d2-4902-b5b9-2733df74f5d1,false,delightful,,
deleterious,0d8a9272-dc16-49b2-b4da-db427054d61e,false,harmful; damaging,dil uh TER ee us,
deliberate; deliberation,79764494-c249-4ce5-9778-267f89cdccb9,false,,,
delicacy,7cddc433-2de5-4048-8899-be4d4817748e,false,,,
delicate,8b64230a-385e-4b94-bd05-52612480e307,false,,,
delineate; delineated; delineating,3b783a56-de13-43fc-ba3d-1357c6c08c8f,false,to describe accurately; to draw an outline,,
delude,d3d00f29-0eb3-4748-9f93-3a463e3b30d3,false,to deceive,,
"deluge, deluged",5be9a567-1016-43ed-814a-dc034a84cb20,false,anything that overwhelms like a flood; inundated,,
delusion,2ce00f93-e29f-4069-aca4-29691c2cef64,false,,,
delusory,f23eb08f-4467-4896-a404-6d7f01a3b544,false,,,
delve,2a418b11-b8ad-47dc-b3f1-5927a3523f8d,false,to search or study intensively,delv,
demagogue; demagoguery,3539918a-37b4-4f25-9957-aba12995d05e,true,"a leader leader who obtains power by appealing to the emotions, passions, and prejudices of the people; to obscure or distort with emotionalism and prejudice",DEM uh gawg,
demand,ec497b17-d123-4791-94f9-acc03ca87a80,false,,,
demarcate; demarcation,fa944978-9687-4664-abe4-c0dc08c0de5f,false,,lines of demarcation,
demeanor,879f00d8-ce75-4848-bc34-0cf1463cde6b,false,,,
demise,12ecf7fb-5102-4f29-95d7-f981c3c08069,false,termination,,
demonstrable; demonstrably,6fab1f4f-1a13-40fa-9e27-8cd6d8582e74,false,,,
demonstrative,6ba25361-aabd-4c6e-8c84-7f3f13964abf,false,serving to demonstrate; explanatory or illustrative,duh-mon-struh-tiv,
demote,bca60cc4-a753-4277-8a4c-179d575b5005,false,to lower in status or character,,
demure; demurred,130553df-d1d6-4bb4-a885-e0118f0b3491,false,shy; reserved; sedate,di MYOOR,
denigrate; denigrating; denigration,2e77bdc5-af60-497e-8437-cec971ad5b94,false,"disparage, belittle, deprecate, debase, devalue",,
denizen,dd720ec0-41bf-4eaa-897c-b8f5d4c84983,false,,,
denominate,c3c1fff7-cc69-4e71-985d-14e1bf8299f2,false,to give a name to; designate,,
denote,1f1d5d95-e23f-4953-ba64-2eb5afc9bb0b,false,to refer to explicitly; to signify; to indicate; to mark,vs. connote (to suggest or imply),
denounce,46bc8217-f9ce-4329-8e30-772ba48bc831,false,to condemn openly; to expose critically,dih NOWNS,The world was flabbergasted with the Russian government's denunciation of Stalin so soon after he died.
dense; densely,6bb39d0f-ffc4-445b-9148-0e0f0ffdb8b5,false,,,
"depart, departure",da470681-40d6-4790-b971-f5a7a600108e,false,,,
departure,2a7e9b6c-c62b-40be-bae5-8708155b5f34,false,,,
depict; depiction [of],98060b80-b8df-43ac-869c-ff31cae75f7d,false,"to portray,especially in a picture; to describe",,depicted as
deplete; depletion,dbc65401-3e7a-40dd-866b-40af72b2beeb,false,to use up; to reduce; to lessen,di PLEET,
deplore; deplorable,6124e106-8360-4dd9-be6b-75f3301c72a3,false,to regret; to condemn; to lament,di PLAWR,
deploy; deployable,1691dd99-af77-4552-bd61-aa8d9f859775,false,,,
depose,e86498db-2da0-4c57-b03f-451833ffcf23,false,,,
depraved,3b9f22ba-87ce-4b9c-a529-99f03ad9bb9d,false,marked by corruption or evil,,
depravity,c1b386f9-4255-41b1-986a-02a6f0fad31b,false,moral corruption; extreme wickedness or corruption,,
deprecate,513d02dd-ad98-4ea0-ace5-0a4fa2636c07,false,"to disapprove of, often with mildness",,
depreciate,93e66bd4-47e8-4ddf-88eb-344b96cd5e52,false,to make to seem less valuable or important; to diminish in value,,
depress; depressing,e63afead-2d0f-4981-aaab-11dcaac9fe2f,false,,,
"deprive [of], deprivation",1c8853cd-fb82-4b0a-90c8-c6396429f429,false,,,
depth,6f1fc094-441f-4b69-9620-96995a71446a,false,,,
derail,2f3ce4e5-0393-4b61-a1c5-b3c472175ba2,false,,,
derelection,338eb755-23c6-4b9c-84ac-bf60d70a9184,false,deliberate neglect of duty or obligation,,
deride; derision,49b3f969-0ed3-4a22-9d23-927d1727b1e7,false,"to mock contempuously, to ridicule","duh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observers",
derisive; derision,33171b5f-af25-4d74-a298-c6e3e502bd35,false,,,
"derive, deriving; derivation",973286fe-e50d-43f8-8bc4-f2549b8e7d89,false,,,
derogatory; derogatorily,60a7b508-3e20-4719-a786-fb488e763ac1,false,insulting or intended to insult,duh RAH guh tor ee,
"descend, descent",a162ce05-e0a9-45b7-a6c5-dee089ef0631,false,,,
descendant,30b02016-0e73-475c-ac06-e545c79ca09c,false,,,
descriptive; descriptively,4c579551-e151-46d4-9f19-3cf63a1a16a9,false,,,
deserve; deserved; deservedly,82ac50de-6841-4a27-976b-219a56d91a97,false,,,
deserving,9a962f85-ad78-43bd-83b1-1f42b2575765,false,,a,
desiccate,845d3968-4c0d-41b4-9b0a-68044d8d0704,false,to dry out,,
designation,d359240d-291b-4937-9819-2590b894422c,false,,,
desirous [to/of],2581d486-750f-4180-b805-ed1e9eeddc5c,false,,,desirous of
desist [from],7cf934f3-4e44-445d-9491-cc8c3459a889,false,to stop doing (something),di ZIST,
desolate,13ab0701-0b18-44ad-80d7-89f2ab188598,false,deprived or destitute of inhabitants; deserted,des-uh-lit,
despair [of]; despairing,4e19927b-9610-4718-aae4-efcb53df611c,false,,,hope/despair
desperation,6920fd79-8599-4db0-860f-8713d151ad05,false,,,
despicable,ab0439f8-cef4-494e-9b22-75c7ac444e15,false,,,
despirit; despirited,db8174d2-6b8a-434f-b1b6-e6e613d0da2b,false,,,
despite,e80df864-8eda-4de5-9591-db5e892efee4,false,,She (Clinton) is always somehow the victim despiter her own poor decision-making.,
despondent; despondency,155e91b7-751e-4334-9e07-6e9e9b74aef7,false,extremely depressed; full of despair,despondent about …,
despotic; despotism,431a0d69-0867-4fe3-90d7-a56132c51fd7,false,autocratic; tyrannical,,
destitute [of],3b6d0a06-14d5-474d-8ea4-9a75cfc03b07,false,extremely poor; utterly lacking,,
desultory,430da0fe-674b-4b70-a45a-283a726c2047,false,"lacking a plan, purpose, or enthusiasm; digressing from or unconnected with the main subject; random",,
detect; detection,76cd04a5-fdeb-4e61-9bb0-a8c589d07fd8,false,,,
deter; deterrent; undeterred [by]; deterrence,865361d0-d56f-4525-af96-d147cd01e8a1,false,to prevent; to stop; to keep from doing something,powerfully deter,
determinable,a11f93c7-eb75-40a0-b391-032633ffbbb8,false,,,
determinitive,2314e479-e52a-4e72-b984-193c02910849,false,"serving to define, qualify, or direct",,
deterministic,51dbddfb-5837-4389-b28e-e3b3eb199ccd,false,,,
detract; detract,6a80c3e8-ff56-4408-865a-35f3da43a166,false,take away; diminish,,
detractors,0737efd8-2ba0-4479-931e-169e1a326dae,false,,,
detriment; detrimental [to],31438778-51e0-4269-a1e5-2df75525393c,false,,,
deviant,27663a5b-e13b-4005-a0e5-cfe99ca7d88d,false,,,
deviate [from],40ecbb6d-20f2-4064-b1dc-55e67ceec3c4,false,,,
devious,4b502c2e-8272-4ad5-99ee-9dc96157ed4f,false,deceitful,,
devise; devised,01e7ccc6-6094-4203-8a88-909295aea7cf,false,to make or invent something ingenious,,
devote; devotion [to/of],07132f05-dc60-420e-8eaf-cedddea9c742,false,,,
devout,940c3b72-81e8-4385-b188-19d53802f468,false,earnest or sincere; hearty; committed,,
dexterous,745136ff-c746-4f03-87cb-495e9098725c,false,skillful or adroit in the use of the hands or body,,
"diabolic, diabolically",0211299c-5eac-47d8-8e5e-7942de59be25,false,Belonging to or so evil as to recall the Devil,diabolically dangerous,
diagnose; diagnostic,ce3fbc3d-70d7-4ecf-af1e-24249b5049e6,false,,,
dialectically,dccc6e36-ab2c-4633-9a10-70dc795eafcf,false,,,
dialogue,de7329f8-acc2-4019-8546-db369bc37f12,false,,,
diametrically,1ffc51ba-0b87-4125-98b5-e73f76d808a4,false,,,
diatribe,2ae22220-3dec-457a-a8a7-46a4b374fad5,false,"a bitter, abusive denunciation",DYE uh trybe,
dichotomy,bfa9ba9e-0155-45dd-9398-1019433c90c6,false,,,
dictate; dictated,408bea28-eeca-4704-9a7e-2d338c438f0f,false,"say or read aloud (words to be typed, written down, or recorded on tape).",,
diction,9fa294f6-e1c6-46fd-9f7e-26dc6f8601c8,false,style of speaking or writing as dependent upon choice of words,,
didactic,2d8796f0-4048-4ad8-9183-85e4f270dd3a,false,,,
didactic; didactical,622b715a-a847-4387-87ba-7621049af97f,false,instructive; intended to teach; morally instructive; pedantic; preachy,,
differ,000aa2c0-23b8-4d71-afc9-a79da69a1603,false,,"differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)",
different [than]; differently,49dfff8e-034d-4b3f-bbda-671b826b23e2,false,,different from (pertaining to direct contrast); different than (pertaining to degrees of difference),
diffident; diffidence,412ffc44-f394-4fdb-af2f-3ad77547c3e2,false,timid; lacking in self-confidence; reserved,DIF uh dint,
"diffuse (v, adj), diffusely",f7984564-f40a-4f23-a8bd-c9d2fd2032a2,false,to spread out or disperse; not concentrated; characterized by great length or discursiveness in speech or writing; wordy; widely spread or scattered; dispersed,"dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.",
digress; digression; digressive,bf7cfc44-160f-489a-934f-c6a513acff06,false,to stray or depart temporarily from the main subject; ramble,,
digress; digression; digressive,e91d6bc4-4f56-4ddb-b253-acab2d1ade01,false,,,
digressionary,67fde671-8d50-427e-8f34-b39373951979,false,,,
dilate,5f8ae64e-5216-466a-aef7-bdce51ddaec8,false,to become wider or larger; to swell,,
dilatory,8b1b48a0-716b-4527-947c-7d7a35cb0e6d,false,habitually late,DIL uh tor ee,
dilemma,e838f7c4-cf9c-4974-912b-b8641fb77478,false,a difficult situation where a choice must be made; a problem or predicament,dih LEM uh,
diligent,c4718b9c-ffd2-49a4-abe9-60cf00e0c84c,false,marked by painstaking effort; hard-working,DIL uh jint,
