word,english,japanese,example,present,teForm,negative,past,pastNegative,potential,imperative,volitional,group,desirative,conditional,passive,causative,causativePassive,honorific,humble,mark
sugiru,to pass; to exceed,過ぎる,urusasugimasu (too loud),sugimasu,sugite,,,,,,,,,,,,,,,
untenshu san,driver; chauffeur,運転手さん,,,,,,,,,,,,,,,,,,
unten menkyoshou,driver's license,運転免許証,,,,,,,,,,,,,,,,,,
unten suru,to drive,運転する,,,,,,,,,,,,,,,,,,
unchin,fare; fee (bus),運賃,,,,,,,,,,,,,,,,,,
unmei,fate; destiny,運命,運命を信じる,,,,,,,,,,,,,,,,,
undou suru,to exercise,運動する,,,,,,,,,,,,,,,,,,
undou,athletics; physical exercise,運動,,,,,,,,,,,,,,,,,,
hakobu,to carry,運ぶ,荷物を運びます (carry luggage),hakobimasu,hakonde,,hakonda; hakobimashita,,,,,,,,,,,,,
hakobu,to transport,運ぶ,,,,,,,,,,,,,,,,,,
un ga ii,lucky,運がいい,,,,,,,,,,,,,,,,,,
un,luck; fortune,運,"今日は運がいい。(Today, I am lucky.)",,,,,,,,,,,,,,,,,
yuuenchi,amusement park,遊園地,,,,,,,,,,,,,,,,,,
asobu,to play (intrans.); to enjoy oneself; to spend time pleasantly; to have fun; to make a visit; to amuse,遊ぶ,"３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)３人の子供が公園で遊んでいた。
(Three children were playing in the park.)
外で遊ぼう。
soto de asobou. (Let's play outside.)",asobimasu,asonde; asobanakute,asobanai; asobimasen,asonda; asobimashita,asobanakatta; asobimasen deshita,asoberu,asobe; asobu na,asobou; asobimashou,1 (u-dropping verbs),,asobeba; asondara; asobimashitara; asobanakereba; asobanakattara; asobimasen deshitara,asobareru,asobaseru,asobasareru; asobaserareru,oasobi ni naru; asobareru,,
chikoku suru,to be late,遅刻する,,,,,,,,,,,,,,,,,,
okureru,to be late (～に),遅れる,,okuremasu,okurete; okurenakute,okurenai; okuremasen,okureta; okuremashita,okurenakatta; okuremasen deshita,,,,,,,,,,,,
osoi,late; slow,遅い,ososugiru (too slow/late); 私はレストランに遅く行きます。(I will go to the restaurant late.),,osokute,osokunai,osokatta,osokunakatta,,,,,,,,,,,,
shinpo,progress; advance; improvement; development,進歩,どんどん進歩,,,,,,,,,,,,,,,,,
susumu,to advance; to proceed; to go forward; to feel inclined; to feel like; to have a good appetite; to gain; to get worse,進む,Fune wa nami o kakiwakete dondon susunda. Uso o tsuku nowa ki ga susumanai. (The ship plowed her way through the waves. I am reluctant to tell a lie.),susumimasu,susunde,susumanai,susunda,,susumeru,susume,,,,,,,,,,
susumideru,to step forward; to volunteer,進み出る,,,susumidete,,,,,,,,,,,,,,,
shuumatsu,weekend,週末,,,,,,,,,,,,,,,,,,
shuukanshi,weekly magazine,週刊誌,,,,,,,,,,,,,,,,,,
renzoku dorama,serial TV drama,連続ドラマ,,,,,,,,,,,,,,,,,,
renraku suru,to contact (person に); to get in touch with; to communicate; to correspond,連絡する,"also: renraku wo toru; Masao kara wa mada nan no renraku mo nai. (There is still no contact from Masao.)
Denshi meeru de renraku shimasu. (I'll contact you via email.)also: renraku wo toru; Masao kara wa mada nan no renraku mo nai. (There is still no contact from Masao.)
Denshi meeru de renraku shimasu. (I'll contact you via email.)also: renraku wo toru; Masao kara wa mada nan no renraku mo nai. (There is still no contact from Masao.)
Denshi meeru de renraku shimasu. (I'll contact you via email.)also: renraku wo toru; Masao kara wa mada nan no renraku mo nai. (There is still no contact from Masao.)
Denshi meeru de renraku shimasu. (I'll contact you via email.)",renraku shimasu,,,,,,,,,,,,,,,,
renkyuu,consecutive holidays,連休,,,,,,,,,,,,,,,,,,
renchuu,colleagues; company,連中,,,,,,,,,,,,,,,,,,
tsuremodosu,to bring back,連れ戻す,,,,,,,,,,,,,,,,,,
tsureru,to take (a person) somewhere; to lead; to take somewhere,連れる,tsuredashimasu (started to take someone),tsuremasu,tsurete,tsurenai,tsureta,,,,,,,,,,,,,
tsuretekuru,to bring someone along/home,連れて来る,友達を家に連れて来るつもりです。(I will bring my friends back to my house.),,,,,,,,,,,,,,,,,
tsureteiku,to take someone to a place; (person を place に); to bring someone somewhere,連れていく,"弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)弟を連れて公園へ行った。(I brought my brother to a park.)
watashi o soko e tsurete itte kudasai. (Please take me their.)",tsurete ikimasu,tsurete itte,,,,,,,,,,,,,,,
tsukuru,"to manufacture; to build (usually large-scale building, manufacturing)",造る,,tsukurimasu,tsukutte,tsukuranai; tsukurimasen,tsukurimashita,,tsukureru,tsukure; tsukurinasai,tsukurou,1 (u-dropping verbs),,tsukureba,tsukurareru,,,tsukuraserareru,,
sokudo,speed; velocity; rate,速度,制限速度は何キロですか？ (What's the speed limit?),,,,,,,,,,,,,,,,,
hayai,fast; quickly; quick,速い,速さ (speed),,,,,,,,,,,,,,,,,
tsuuro,aisle; passage; pathway; roadway,通路,,,,,,,,,,,,,,,,,,
tsuuyaku,interpreter,通訳,通訳を頼めます（たのめます）か？ (Can I request a translator?),,,,,,,,,,,,,,,,,
tsuukou,traffic; passage,通行,一方（いっぽう）通行 (one-way traffic); Omote-doori wa kuruma no tsuukou ga hageshii. (The main street has heavy car traffic.),,,,,,,,,,,,,,,,,
tsuujou,regular; ordinary,通常,通常の～,,,,,,,,,,,,,,,,,
tsuugaku,going to school; commuting to school,通学,,,,,,,,,,,,,,,,,,
tsuukin,going to work,通勤,,,,,,,,,,,,,,,,,,
tsuushin,correspondence; communication; transmission; news; signal,通信,,,,,,,,,,,,,,,,,,
tooru,"to go through; to go by; to pass; to go along; to use (a road); to take (a road); to connect; (although tooru is intransitive, sometimes を is used.)",通る (intrans.),"この道を通っていくと近いですよ。(If you take/go down this road, it is close.)；通り過ぎちゃった (I went too far past…)",toorimasu,tootte,tooranai,tootta,tooranakatta,,,toorou,,,toottara,toorareru,,,,,
doori,in accordance with ~; following ~,通り,予定通り (according to plan; on time),,,,,,,,,,,,,,,,,
doori ni,in accordance with ~; according to ~; following ~; roughly; about,通り,jikan doori ni (on time); iu toori ni shimashita (it was done as said),,,,,,,,,,,,,,,,,
toori,"street; avenue; road; coming and going; street traffic; flow (of water, air, etc.); the same status or way; as (e.g., as expected, as I said); counter for sets of things; counter for methods, ways, types",通り,"天気予報のとおり、… (as the weather forecast said, …)",,,,,,,,,,,,,,,,,
toosu,"to pass through; to stick through; to force through; to spread throughout; to thoroughly diffuse; to make a path between two points; to proceed in a logical manner; to let pass; to allow through; to lead (someone) into (a house, room, etc.); to show in; to go through (a middleman); to (look, listen) through (a window, wall, etc.); to pass (a law, applicant, etc.); to force to accept; to force agreement; to continue (in a state); to persist in; to do to the entirety of; to cover all o; to span the whole; to do from beginning to end without a break; to convey (one's ideas, etc.) to the other party; (after the -te form of a verb) to do to the end; to carry through; to complete",通す,～を通して (through),,,,,,,,,,,,,,,,,
tsuujiru,"to be open (to traffic); to lead to; to communicate (with); to flow (liquid, current); to pass; to et through to; to be understood; to be comprehended; to be honored; to be good; to be well versed in; to be well-informed; to form a liaison; to be intimate; ～を",通じる,,,,,,,,,,,,,,,,,,
kayou,"to commute (～に); to go back and forth; to attend (school, church, etc.)",通う,,kayoimasu,kayotte; kayowanakute,kayowanai,kayotta; kayoimashita,,,,,,,,,,,,,
~ tsuu,"connooisseur; master; authority; counter for letters, notes, documents, etc.",通,,,,,,,,,,,,,,,,,,
togireru,to pause; to be interrupted,途切れる,,,,togirenai,,,,,,,,,,,,,,
tochuu,on the way; en route; in the middle of; midway,途中,"帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)帰るとちゅう; 途中で友達に会いました。
tochuu de, tomodachi ni aimashita. (On the way, I ran into a friend.)",,,,,,,,,,,,,,,,,
sukasu,to look through; to hold up to the light; to make an opening; to leave space; to space (lines); to prune (trees); to fart without making a sound,透かす,,,sukashite,,sukashita,,,,,,,,,,,,,
gyakuten suru,to do a sudden change; to do a reversal; to do a turn-around,逆転する,,,,,,,,,,,,,,,,,,
sakarau,to oppose; to go against; to disobey; to offend; to defy; to rebel,逆らう,Oya ni sakarau beki dewa nai. (You should not disobey your parents.),,,,,,,,,,,,,,,,,
gyaku,opposite; backwards; reverse; inverted,逆,,,,,,,,,,,,,,,,,,
nogasu,to miss; to let loose; to set free; to let escape,逃す,このチャンスを逃さないで。 (Don't miss this chance.),nogashimasu,nogashite,nogasanai,nogashita,,,,,,,,,,,,,
nigekomu,to take refuge in; to succeed in running away,逃げ込む,,,,,,,,,,,,,,,,,,
nigemawaru,to run from place to place,逃げ回る,,,,,,,,,,,,,,,,,,
nigeru,to escape; to run away,逃げる,,nigemasu,nigete,nigenai,nigeta,,,nige; nigenasai,nigeyou,,,,,,,,,
nigasu,to set free; to let loose; to let escape,逃がす,,,,,,,,,,,,,,,,,,
soukin suru,sending money; to transfer money,送金する,,,,,,,,,,,,,,,,,,
souryou,postage,送料,,,,,,,,,,,,,,,,,,
soushin,transmission; sending,送信,データ送信ミス (data transmission error),,,,,,,,,,,,,,,,,
okuru,to send; to ship; to see (someone) off; to dispatch; to spend,送る,Ryoushin wa inaka de shizukana seikatsu o okutteiru. (My parents have a quiet life in the countryside.); sono hito no tokoro e okutte kudasai.; 契約書（けいやくしょ）を送って（おくって）くださいますか？(Would you send me the contract?),okurimasu,okutte,okurimasen,okutta; okurimashita,,okureru,okurinasai,,1 (u-dropping verbs),okuritai; okuritakunai,,,,,,,
okuru,to walk/drive (someone); to send; to see off; (person に thing を),送る,誰におくるの？(Who are they for?); 家まで送ろう。(I will take you home.),送ります,,,送りました,,,,送ろう,,,,,,,,,
okurijyou,invoice,送り状,,,,,,,,,,,,,,,,,,
taain suru,to leave a hospital; to be discharged from a hospital,退院する,,,,,,,,,,,,,,,,,,
taiin,discharge from a hospital,退院,,,,,,,,,,,,,,,,,,
taiji,"extermination (e.g., of pests, demons); elimination; eradication; suppression",退治,,,,,,,,,,,,,,,,,,
taikutsu [na],bored,退屈な,,,,,,,,,,,,,,,,,,
taijou,leaving; exit,退場,,,,,,,,,,,,,,,,,,
taikyaku suru,to retreat; to withdraw; to retire,退却する,,,,,,,,,,,,,,,,,,
doku,"to step aside; to move (e.g., out of the way); to make way; to resign; to retire; to quit; to secede",退く,,dokimasu,doite,dokanai,doita,,,doke,,,,,,,,,,
