word,mark,definition,pronunciation,example
decidely,,free from doubt or wavering,,
decimate,,to kill or destroy a large part of,,
decisive,,the ability to make decisions quickly and clearly,,
declare,,,,
declination,,,,
decorous; decorum,,"marked by propriety and good taste, especially in conduct, manners, or appearance",rules of decorum,
decrepit,,worn out or ruined because of age or neglect; dilapidated; rickety; wornout;,,
decry; decried,,criticize; condemn,,
deduce; deduction; deductive,,to come to a conclusion by reasoning from the evidence; to infer,dee DOOS,we deduced that
deed,,,,
deep; deeply,,,deeply entrenched,
deepen; deepened,,,,
deeper pockets,,richer,,
deep-rooted,,,,
deep-seated,,,,
defect,,,,
"defect, defector",,,,
defective,,,,
defendant/plaintiff,,,,
defer,,,,
"deferent; deference [to], deferential",,humble submission or respect,,
deferential,,,,
defiantly,,,,
defiantly,,,,
deficient; deficiency,,(antonym: excess),,
deficit,,"a shortage, especially of money",DEF uh sit; the deficit mounts,
defile,,,,
definite,,precise and clear in meaning,,
definitive; definitively,,decisive; conclusive; conclusive; providing the last word,,
contour,,,,
deflate; deflated,,,,
deflect,,,,
deft; deftly,,skillful; dexterous,deft,"The deaf are deft at reading lips.; deftly avoided me; In one deft move, the policeman subdued the thief and took him to the ground.; so deft with a  pack of cards"
defunct,,,,
defunct,,no longer existing or functioning,deh FUNKT,
defuse,,,,
defused,,,,
defy; defied,,"resist, challenge",,
degenerate,,to break down; deteriorate,,
"degrade, degredation",,,,
deign,,,,
dejected; dejection; deject,true,depressed; disheartened; sad,di JEK tid,
delectable,,delightful,,
deleterious,,harmful; damaging,dil uh TER ee us,
deliberate; deliberation,,,,
delicacy,,,,
delicate,,,,
delineate; delineated; delineating,,to describe accurately; to draw an outline,,
delude,,to deceive,,
"deluge, deluged",,anything that overwhelms like a flood; inundated,,
delusion,,,,
delusory,,,,
delve,,to search or study intensively,delv,
demagogue; demagoguery,true,"a leader leader who obtains power by appealing to the emotions, passions, and prejudices of the people; to obscure or distort with emotionalism and prejudice",DEM uh gawg,
demand,,,,
demarcate; demarcation,,,lines of demarcation,
demeanor,,,,
demise,,termination,,
demonstrable; demonstrably,,,,
demonstrative,,serving to demonstrate; explanatory or illustrative,duh-mon-struh-tiv,
demote,,to lower in status or character,,
demure; demurred,,shy; reserved; sedate,di MYOOR,
denigrate; denigrating; denigration,,"disparage, belittle, deprecate, debase, devalue",,
denizen,,,,
denominate,,to give a name to; designate,,
denote,,to refer to explicitly; to signify; to indicate; to mark,vs. connote (to suggest or imply),
denounce,,to condemn openly; to expose critically,dih NOWNS,The world was flabbergasted with the Russian government's denunciation of Stalin so soon after he died.
dense; densely,,,,
depart; departure,,,,
depict; depiction [of],,"to portray,especially in a picture; to describe",,depicted as
deplete; depletion,,to use up; to reduce; to lessen,di PLEET,
deplore; deplorable,,to regret; to condemn; to lament,di PLAWR,
deploy; deployable,,,,
depose,,,,
depraved,,marked by corruption or evil,,
depravity,,moral corruption; extreme wickedness or corruption,,
deprecate,,"to disapprove of, often with mildness",,
depreciate,,to make to seem less valuable or important; to diminish in value,,
depress; depressing,,,,
"deprive [of], deprivation",,,,
depth,,,,
derail,,,,
derelection,,deliberate neglect of duty or obligation,,
deride; derision,,"to mock contempuously, to ridicule","duh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observersduh RIDE
Many would deride the street corner preacher.; the action drew derision from observers",
derisive; derision,,,,
"derive, deriving; derivation",,,,
derogatory; derogatorily,,insulting or intended to insult,duh RAH guh tor ee,
"descend, descent",,,,
descendant,,,,
descriptive; descriptively,,,,
deserve; deserved; deservedly,,,,
deserving,,,a,
desiccate,,to dry out,,
designation,,,,
desirous [to/of],,,,desirous of
desist [from],,to stop doing (something),di ZIST,
desolate,,deprived or destitute of inhabitants; deserted,des-uh-lit,
despair [of]; despairing,,,,hope/despair
desperation,,,,
despicable,,,,
despirit; despirited,,,,
despite,,,She (Clinton) is always somehow the victim despiter her own poor decision-making.,
despondent; despondency,,extremely depressed; full of despair,despondent about …,
despotic; despotism,,autocratic; tyrannical,,
destitute [of],,extremely poor; utterly lacking,,
desultory,,"lacking a plan, purpose, or enthusiasm; digressing from or unconnected with the main subject; random",,
detect; detection,,,,
deter; deterrent; undeterred [by]; deterrence,,to prevent; to stop; to keep from doing something,powerfully deter,
determinable,,,,
determinitive,,"serving to define, qualify, or direct",,
deterministic,,,,
detract; detract,,take away; diminish,,
detractors,,,,
detriment; detrimental [to],,,,
deviant,,,,
deviate [from],,,,
devious,,deceitful,,
devise; devised,,to make or invent something ingenious,,
devote; devotion [to/of],,,,
devout,,earnest or sincere; hearty; committed,,
dexterous,,skillful or adroit in the use of the hands or body,,
"diabolic, diabolically",,Belonging to or so evil as to recall the Devil,diabolically dangerous,
diagnose; diagnostic,,,,
dialectically,,,,
dialogue,,,,
diametrically,,,,
diatribe,,"a bitter, abusive denunciation",DYE uh trybe,
dichotomy,,,,
dictate; dictated,,"say or read aloud (words to be typed, written down, or recorded on tape).",,
diction,,style of speaking or writing as dependent upon choice of words,,
didactic,,,,
didactic; didactical,,instructive; intended to teach; morally instructive; pedantic; preachy,,
differ,,,"differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)differs from (pertaining to dissimilarities);
differs with (pertaining to a disagreement)",
different [than]; differently,,,different from (pertaining to direct contrast); different than (pertaining to degrees of difference),
diffident; diffidence,,timid; lacking in self-confidence; reserved,DIF uh dint,
"diffuse (v, adj), diffusely",,to spread out or disperse; not concentrated; characterized by great length or discursiveness in speech or writing; wordy; widely spread or scattered; dispersed,"dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.dih-FYOOS
When the bottle broke, the fragrance diffused throughout the room.",
digress; digression; digressive,,to stray or depart temporarily from the main subject; ramble,,
digress; digression; digressive,,,,
digressionary,,,,
dilate,,to become wider or larger; to swell,,
dilatory,,habitually late,DIL uh tor ee,
dilemma,,a difficult situation where a choice must be made; a problem or predicament,dih LEM uh,
diligent,,marked by painstaking effort; hard-working,DIL uh jint,
dilute; dilutive; diluting,,,dilutive effect,
diminish; diminished,,,,
diminutive; diminution,,diminishing; lessening; decrease; very small,,
direct; directed,,,,
dirge,,a funeral hymn or lament,DERJ,
disabused,,,,
disacknowledge,,,,
disaffect; disaffection,,to cause to lose affection; to estrange; to alienate,dis uh FEKT,
disaggregate,,to separate (an aggregate  or mass) into its component parts,,
disallow; disallowed,,to refuse to allow; reject,,
disapprove; disapproving; disapproval,,,disapproving families,
"disarm, disarming",,allaying hostility or criticism,,
disarray,,disorder; confusion,dis uh RAY,
disavow; disavowal,,to deny,,
disbelieve; disbelief,,,,
discard; discarded,,,,
discern; discernment; discernible,,to have insight; to see things clearly; to differentiate,difficult to discern; more discerning,
discharge,,,,
discipline,,,,
disclaim,,to deny any claim to or connection with; to renounce,dis KLAYM,
disclaimer,,,ih-fem-er-uhl,
disclose; disclosure; disclosing,,,,
discomfit,,"to confuse, deject, frustrate, deceive",,
"disconcern, disconcerning",,,,
disconcert  disconcerting,,"to throw into disorder, disarray, or confusion; disarrange","dis kun SERT
An apathetic audience may disconcert even the most experienced performer.dis kun SERT
An apathetic audience may disconcert even the most experienced performer.dis kun SERT
An apathetic audience may disconcert even the most experienced performer.",
disconfirms; disconfirmed,,,,
disconsolate,,,,
discontent,,,,
"discontent, discontented",,,,
discord; discordant,,disagreement (the opposite of concord)disagreement (the opposite of concord)disagreement (the opposite of concord),,
discourage [from],,,,
discourse,,spoken or written expression in words; to converse; to formally discuss a subject,DIS kawrs,
discredit; discredited,,,,discredited himself
"discreet, discretion",,"prudent; careful; judiciously reserved, decorous",,
"discrepancy, discrepancies; discrepant",,an instance of difference or inconsistency,dis KREP un see,
discrete,,unconnected; separate; distinct; (opp. Indiscrete),,
"discriminate, discrimination",,to notice or point out the difference between two or more things; to differentiate; to discern,,
discursive; discursion,,"moving from topic to topic without order; skimming over many apparently unconnected subjects;  rambling, usually aimlessly; desultory; digressive",dis KUR siv,
disdain,,to regard or treat as unworthy or beneath one's dignity,Many beginners disdain a lowly job that might in time lead them to the position they desire.,
disempower; disempowered,,,,
disengaged,,,,
disentangle,,,,
"disfigure(d) (v,adj)",,,,
disgruntle; disgruntled,,to make sulky and dissatisfied; to discontent,dis GRUN tul,
disguise,,,,
disillusion,,,,
disincentive,,,,
disinclined,,,,
disingenuous,,insincere; devious; dishonest; lacking in candor; not straightforward,,
disintegrate; disintegration,,,,
disinterest; disinterested,,to cause to regard something with no interest or concern; not influenced by personal interest or selfish motives; impartial; unbiased,vs. uninterested (indifferent),
disintermediate,,,,
disjoin; disjointed,,to undo the joining of; separate; detach,,
disjunction,,"the action of disjoining or condition of being disjoined; separation, disconnection, disunion",,
dislike,,,,
dislocate; dislocation,,"to force (someone or something) to move from a place or position; to cause (a business, system, etc.) to change in some major way; to stop (something) from functioning as it used to function",,
dislocation,,a disruption of the established order,,
dislocative,,"causing confusion; causing to deviate froma normal or predicted course, situation, or relationship",,
dismal; dismally,,dark and depressing; bleak; desolate,,
dismantle,,,,
dismay; dismayed [by],,to fill with dread; to surprise in such a manner as to disillusion; to alarm,dis MAY,
"dismiss, dismissed",,to remove or reject,,
dismissive,,,,
disparage; disparaging,,"to speak of negatively; to belittle; to put down; to say uncomplementary things, usually in an indirect way; to speak slightingly of; show disrespect for",dis PEAR ij,Don't disparge them for their ignorance.; disparaging remarks
disparate; disparately; disparity,,different; incompatible; unequal,DIS pur it,It has disparate impact.
disparity; disparities [between],,,,
dispassionate; dispassionately,,without passion; objective; neutral,dis PASH uh nut,
dispel,,to drive away; to dissipate,dis PELL,dispel any thoughts of/that
dispensable,,"expendable, extraneous; unnecessary or inessential",,
dispense; dispensed,,,,
disperse; dispersed,,to scatter; to spread or distribute widely,dis PURS,The investors expected that the funds would be dispursed the same day of the closing.
displace; displacement,,,,
display,,,,
displeasing,,,,
disposal,,,,
disposed,,having an inclination,,
disposition [to],,"a natural or acquired tendency, inclination, or habit in a person or thing; characteristic attitude; state of mind; inclination; arrangement",dis puh ZISH un,
dispositive,,,,
dispossess; dispossession,,"to remove from someone that possession especially of property or land; put out of occupancy; eject, oust",,
disproof,,,,
disproportionate; disproportionately,,,,
disprove; disproved; disproven,,"refute, negate",,
"dispute; disputable, indisputable, disputation",,questionable; unquestionable,,
disqualify; disqualifying,,,disqualifying trait,
disquiet; disquieting,,to make uneasy or anxious,,
disregard,,,,
disreputable,,without favor,,disreputable clothes
disruptive,,,,
disseminate,,"to scatter widely, as in sowing seed",dis SEM uh nayt,
dissent; dissenting; dissention,,to disagree (opposite of consent)to disagree (opposite of consent),,dissenting minority
dissident,,someone who disagrees,,
dissimilar; dissimilarities; dissimilarity,,,dissimilar [to],
dissiminate,,to spread the seeds of something; to scatter; to make widely known,,
dissipate; dissipated; dissipating; dissipation,,"to thin out, drift away, or dissolve; to cause to thin out, drift away, or dissolve; to waste or squander",DIS uh payt,
dissociate,,to withdraw from association,,
dissolute,,indifferent to moral restraints; given to immoral or improper conduct; corrupt; debauched,,
dissolve; dissolution,,to break up into parts; to disintegrate; the termination of a legal bond or contract,dis uh LOOT,dissolution of the committee; The bank's dissolution was caused by a series of bad loans.
dissonant,,"marked by a lack of agreement, incongruous, discrepant",,
dissuade; dissuasion,,to deter by persuasion,di SWAYD,
distant past,,,,
distaste,,"aversion, disgust, repugnance",,
distend,,"to swell out or expand from internal pressure, as when overly full",dis TEND,
distinct; distinction [between],,,,
"distinguish, distinguished",,to tell apart; to cause to stand out,,
distort; distortion,,,,
distress; distressed; distressingly,,,,distressed by
disutility,,,,
"dither, dithering",,a state of flustered excitement or fear; trembling,,
"diverge; divergent; divergences [among, from]",,differing in opinion; deviating,antonym: converge; convergent,
diverse,,varied,,
diversion,,amusement; entertainment,div UR zhun,
divert,,,,
divest [of]; divestiture,,to strip,"After the court martial, he was divested of his rank and decorations.",
divisive,,,,
divulge; divulgence; divulging,,to reveal,,
docile,,easily taught or controlled; obedient; easy to handle,DAHS ul,"a sweet, docile husband"
doctrinaire,,inflexibly committed to a doctrine or theory without regard to its practicality; dogmatic,,
dogmatic,,stubbornly attached to insufficiently proven beliefs; arrogantly assertive of unproven ideas; stubbornly claiming that something (often a system of beliefs) is beyond dispute,dog MAT ik,
domain,,"a territory or space over which one rules has profiency, influence, or power",doe MAYN,
domestic,,having to do with the household or family; not foreign,,
domicile,,,domiciled,
dominance,,,,
dormant,,inactive; asleep,DOR munt,a dormant village
doting [on],,,,
double standard,,,,
dour,,,,
dovish,,used to describe a moderate response; conciliatory; opposite of hawkish,,
draconian,,"rigorous; unusually severe or cruel (characteristic of Draco, an ancient Greek official, who created a harsh code of laws)",drah KOH nee un,our draconian professor; a draconian sentence to the defendant
dramatic; dramatically,,,,
draw; drew; drawn,,to move in a particular direction,drawn [into]; the action drew derision from observers,
dregs,,the most worthless part or parts of something ,,
drivel,,,,
drone,,to talk on and on in a dull way,,
drudgery,,,,
duality,,,,
dubious,,doubtful; giving rise to uncertainty,DOO bee us; dubious guise,
"duly, unduly",,,,
duplicitous; duplicity,,the act of being two-faced; deception,doo PLIS uh tus,
dwarf; dwarfed,,,,
dwindle; dwindles; dwindling,,,,
dynamic; dynamism,,,,
eager,,,,
earnest; earnestly,,"serious in intention, purpose, or effort; sincerely zealous",,
ease,,,,
ebullience,,intense enthusiasm,eh BOO li ents,
ebullient,,"overflowing with fervor, enthusiasm, or excitement",,
eccentric,,not conventional; a little kooky; irregular,,
echelon,,"a level of command, authority, or rank",esh-uh-lon,
echoing,,,,
eclectic,,drawn from many sources,uh KLEK tik,
eclipse; eclipsed,,,eclipsed by,
economical,,not wasting money or time; frugal; thrifty,EE keh nom' i kl,
economy,,careful management of available resources,economy of motion,
ecosystem,,,,
edge,,,,
edifice,,"a building, especially one of imposing appearance or size",ED uh fis,
eerie; eerily,,,eerily reminiscient,
efface; effaced,,"to eliminate clear evidence of, to erase from memory; to rub away",uh FACE,the headstone inscriptions had been effaced by the ravages of time; the thief effaced his fingerprints from the stolen car; It was hard to make out the old coin's date because it had been effaced over time.
effectual,,effective; adequate,I FEK choo ul,
effectuate,,,,
efficacy; efficacious,,capable of having a desired effect; effective,more efficacy,"It was done for efficacy, not for finesse."
effrontery,,brazen boldness; presumptuousness,eh FRON ter ee,
"effusive; effusion; effusiveness, effusively",,"showing or expressing gratitude, pleasure, or approval in an unrestrained or heartfelt manner; profuse and overflowing, without reservation",eh FEW sive; effusive joy,his manner was not effusive
egalitarian,,believing in the social and economic equality of all people or a person who adheres to egalitarian beliefs,ih gal uh TARE ee un,The egalitarian protesters demanded equal pay for equal work. 
egocentric,,selfish; believing that one is the center of everything,,
egregious,,"extremely bad; flagrant; a serious mistake or offense, often with dire consequences",,
eke,,to supplement; add to; to stretch,,
elaborate; elaboration,,,,
elapse; lapse,,to pass or go by (said of time),ee LAPS,time lapse; elapsed time; Time ellapses slowly when someone is waiting for important news.
"elastic, elasticity",,,,
"elate, elated, elation",,to make very happy or proud,,
elegy,,a poem or song of lament for the dead,,
elevate; elevation,,,,
elicit,,to bring out; to call forth,,
eligible,,,,
ellipsis (…),,"Used to indicate a long, slow break; Used to indicate a sentence trailing off",There it was again… that soft but eerie sound.,
elliptical; elliptically,,oval; obscure,,
eloquant,,,,
eloquence,,,,
"elude, elusive (v,adj)",,"hard to pin down; evasive; to evade or escape by speed, cleverness, trickery",,
emaciate,,to make extremetly thin through starvation or illness,i MAY shee ayt,
emanate [from]; emanating  emanation,,to come forth; to issue; a flowing forth; a quality or property issuing from a source,EM uh nayt,
emancipate; emancipation,,to liberate; to free from bondage or restraint,I MAN suh payt,
embargo,,a government order suspending foreign trade; a government order suspending the movement of freight-carrying ships in and out of the country's ports,em BAHR goh,
embarrasingly,,,,
embattled,,,,
embellish,,to beautify by adding ornaments or decorations; to exaggerate or add fictitious details to,im BEL ish,
emblematic,,,,
embody; embodiment; embodies,,to personify; to give physical form to; to make part of a system,em BAH dee,embodied all the attributes of…; embodies all the true values of…
embrace; embracing,,,,
emerge [over]; emerging; emergence [of],,,emerging stardom; emerged over the ensuing 60 years,
emigrate [from],,to leave a country permanently; to expatriate,,
eminent,,distinguished; prominent,EM uh nent,
"empathy, empathetic",,"identification with and understanding of another's situation feelings, and motives",em puh THET ik,
empirical,,relying on experience or observation,,
empower; empowered; empowerment,,,,
emulate; emulated,,"to strive to be equal, usually through imitation",EM yuh late,Most people emulate those they most admire.; try to emulate
enable,,,,
enamor; enamored [of],,liking a lot,,
encircle,,,,
enclave,,,,
enclose; enclosure,,,,
encompass,,,,
encounter,,,,
encroach; encroachment,,to make gradual or stealthy inroads into; to trespass,,encroach on
encumber; encumbrance,,,,
endanger; endangered,,,,
endeavor,,,,
endemic,,widespread; takign hold throughout a community or society,,
endogenous,,originating from within,ant.: exogenous,
endorse,,,,
endowed,,,,
enervate,,"to reduce the strength or energy of, especially to do so gradually",,
"enforce, enforcement",,,,
engage,,to arrange for the use of,,
engender; engendering,,"to produce, cause, or give rise to",,
engrave,,cut; chisel,,
engross; engrossed [by],,,,
enhance,,to make better; to augment,,
enigma; enigmatic,,a mystery; riddle; mysterious,en IG ma,
enjoin,,"to direct, prescribe, or impose by order, typically authoritatively and compellingly",,
enlarge,,,,
enlist,,,,
ennobling,,,,
enormity [of],,immensity; extreme evil; a hideous offense,,
enquiry,,,,
enrage; enraged,,to put in a rage; to enfuriate; to anger,in RAYJ,My forgetfulness enrages my wife
ensconce,,,,
ensnare,,,,
ensue; ensuing; ensued,,come afterward; follow immediately,ensuing 14 years,
ensure,,,,
entail; entails,,,,
"entangle, entangled [in]",,,,
enterprising,,,,
"enthrall, enthralling",,"gripping; enthralled, enchanted, charmed (reference to the capacity to be possessed by a particular spirit)",,
enthusiasm,,,,
entice,,,,
entirety,,,,
entranced,,,,
entrant; entrants [to],,,,
entrench; entrenched,,,deeply entrenched [in],
entrepreneur; entrepreneurial,,"an independent business person; one who starts, runs, and assumes the risk of operating an independent business enterprise",ahn truh pruh NOOR,
entrust; entrusted,,,,
enumerate,,to name one by one; to list,i NOO muh rayt,
enumerated therein,,,,
envelope,,,,
envision; envisioned,,to imagine; to foresee,in VIZH un,
envy; enviable; unenviable; envious,,,,
ephemeral; ephemera,,"lasting a very short time; short-lived; transitory; things of transitory existence, interest, or importance",uh FEM er ul,
epicenter,,,,
epigram,,a brief and usually witty or satirical saying,,
epilogue,,an afterward; a short concluding chapter of a book; a short speech at the end of a play,EP uh log,
epiphany,,"any moment of great or sudden revelation; a sudden, intuitive perception of or insight into the reality or essential meaning of something; sudden penetration of an elusive truth; a sudden breakthrough of understanding",,
episode,,,,
episodic,,occurring sporadically or incidentally,,
episodic,,,,
episodically,,,,
epistemology,,"the study of the method and grounds of knowledge, especially with reference to its limits and validity",,
epitome,,representative of a type; a brief summary that captures the meaning of the whole; the perfect example of something; a paradigm,,
epitomize; epitomized by,,,,
epochal,,extremely important; likely to affect future events or the understanding of them,,
eponymous,,,,
equally,,,they are equally good ideas; equally influential; equally curious,
equanimity,,"evenness of mental disposition; emotional balance, especially under stress",ek wuh NIM uh tee,
equitable; equitably,,fair,treated equitably,
equivocal,,"ambiguous, often intended to confuse; of doubtful nature or character; questionable",e KWIV uh kul,
equivocate; equivocation,,to change one's mind or be unable to stick with a decision or resolution to vacillate in one's own opinion or position; to mislead by saying confusing or ambiguous things,,
eradicate,,to get rid of; abolish,er RAD i kayt,
erect,,,,
eristic,,"finely argumentative, taking logic and argument to extreme lengths",UR is tik,
"erode, erosion",,,,
erratic,,markedly inconsistent,e RAT ik,
erroneous; erroneously,,,erroneous forecasts,
erudite; erudition,,"scholarly; deeply learned, possessing an extensive and often profound or recondite knowledge",ER yoo dyte,"Beneath his erudite image, Dr. John Brinkley was a money-grubbing con man.; Most professional speakers are erudite.; to have erudition; an indication of his erudition"
"escalate, escalation",,intensify,,
eschew,,to abstain or keep away from; shun; avoid,es choo,
esoteric,,hard to understand; understood by only a select few; peculiar,es oh TAIR ik,esoteric knowledge; esoteric experience
"espouse, espoused",,to support; to advocate,,
esteem,,,high esteem,
estop,,to put an end to; bar; prohibit,,
et al,,,,
Et cetera/etc,,,,
ethereal,,"light, airy, or tenuous; extremely delicate or refined",,
etiology,,,,
etymology,,history of a word's origins,,
euologize,,to praise highly,,
euphemism [for]; euphemistically,,a synonym that is less offensive thatn the word it is used to replace,YOO fuh miz um,
euphony; euphonious,,pleasant sound (opposite of cacophony); pleasing to the ear,yoo PHONE ee us,"a sweet euphonious voice; the low, euphonious croaking of the summer frogs; grunting of a mature elephant seal"
euphoric; euphoria,,"a feeling of happiness, confidence, or well-being sometimes exaggerated in pathological states as mania",yoo-fohr-ee-uh,
evade; evasion,,to elude or avoid by cunning; to flee from a pursuer,ee VAYD,evaded the authorities; evade helping her sister wash the dishes
"evade, evasive, evasion (v;adj;n)",,,,
evanesce; evanescent,,vanishing; fading away; fleeting; scarcely perceptible,,
eventful; uneventful,,,,
eventual; eventuality,,possible event,,
evident; evidentiary,,,,
evince,,to reveal or indicate the presence of a particular feeling or condition,,
evoke; evocation; evocative [of]; evocatively,,to summon forth; to draw forth; to awaken; to produce or suggest,ee VOHK,His comments evoked protests from the shocked listeners.; Grandpa tried to evoke a smile from the baby by tickling her chin.; Obscenity tends to evoke uncontrollable or disquiet reason.
evolve,,,,
exacerbate; exacerbated,,to take action that makes a situation worse or aggravates it further,eg ZA ser bayt,
exact,,"to call for forcibly or urgently and obtain, demand",,
exalt,,to raise high; to glorify,,
examine,,,,
exasperate,,to annoy thoroughly; to make very angry,,
excel,,,,
excerpt; excerpted,,,,
excitation,,,,
excite; excited [by]; excitement,,,,His indignation is excited by…
exclaim,,,,
exclude [from],,,,
exclusivity,,,,
excoriate,,,,
exculpate,,to free from guilt,,
excursion,,,,
"execute, execution",,,,
exemplary,,outstanding; setting a great example,,
exemplify,,to serve as an example of,,
"exempt, exempting",,,,
exenuation,,,,
exercise,,,,
exhaustive,,thorough; rigorous; complete; painstaking,,
exhort,,to urge strongly; to give a serious warning to,,
exigency,,,,
"exigency, exigencies",,,,
exigent; exigency,,requiring immediate action or aid; urgent; pressing; emergency,ek-si-juhnt,
existence  / absence,,,,
existential,,pertaining to existence,,
exodus,,,,
exogenous,,originating from outside; derived externally,EK SOJ uh NUS; (ant.: endogenous),
exonerate,,to free from blame; to exculpate,eg ZON er ayt,
exonerate; implicate,,,,
exorbitant,,exceeding normal bounds; greater or more than seems reasonable,eg ZOR bit int,exorbitant price
expand; expansion,,,antonym: contract,
expedient; expediancy; expedients,,serving one's immediate self-interest; practical; convenient; speedy,ek SPEE dee ent,
"expedite, expedited; expeditiously",,to speed or ease the progress of,,
expel,,,,
expend; expended,,,,
experiential,,,,
expertness,,,,
expire,,,,
explanatory,,,,
explicable,,,,
explicit; explicitly; explicitness,,clearly and directly expressed,,
exploit; exploitation,,,,
exploratory,,,,
explosive; explosively,,,,
expoliate; expoliation,,,,
exposition,,expounding or explaining,,
exposition; expositional,,A statement or rhetorical discourse intended to give information about or an explanation of difficult material,ek spuh ZISH un,
expressive,,,,
expressly,,for the particular or specific purpose; specially,,
expropriate,,,,
exquisite,,extraordinarily fine or beautiful; intense,EKS kwi zit,
extend; extension,,,,
extensive,,,,
extent [to which],,,it reveals the extent to which …,
extenuate; extenuating,,to lessen or seem to lessen the seriousness of by giving excuses or serving as an excuse,His abrupt rudeness was extenuated by his distraught state of mind; no one could blame him for it.,
externalize,,,,
extirpate,,to destroy,ek stir PAYT,
"extol, extolled",,to praise highly; to laud,ek STOL,
extort,,"to obtain through force, threat, or illicit means",ik STAWRT,
extortion,,"obtain by force or threats, coercion",,
extract,,,,
"extract, extraction,",,,,
"extradite, extradition",,,,
extraneous,,irrelevent; inessential,ek STRAY nee us,
extraordinary; extraordinarily,,,,
extrapolate; extrapolation,,to infer or estimate by extending or projecting known information,,
extremity,,the outermost point or edge; the greatest degree; grave danger; a limb or appendage to the body,ik STREM uh tee,
extricate,,to free or remove from an entanglement or difficulty,,
extrinsic,,"being, coming, or acting from the outside; extraneous, unrelated to the matter or idea at hand",Her complaints about one particular teacher are extrinsic to an evaluation of the program as a whole.,
extrude; extrusive,,"to push out, thrust out; expel",The volcanic upheaval extruded molten lava over a vast area.,
exuberant; exuberance,,full of unrestrained enthusiasm or joy; profuse in growth,ig ZOO buh runt,
"exult, exulted",,to show or feel a lively or triumphant joy; rejoice exceedingly; be highly elated,,
facade,,a superficial appearance or illusion of something; the front of a building; the false front or misleading appearance of anything,fuh SAHD,unconvincing façade
facet,,,,
facetious; facetiously,,unserious; comments made specifically to get a laugh out of those around you; something said in jest; sarcastic,fuh SEE shus,
facile,,fluent; skillful in a superficial way; easy,FAS il,
facilitate; facilitator,true,to make easier; to help bring about,fuh SIL uh tayt,"a mediator, not a facilitator; facilitate learning; facilitate the sale"
factitious,,contrived; fabricated,,
fade; fading,,,,
fainted,,,,
fall in,,,,
fallacious; fallacy,,embodying or presenting a false or erroneous idea; an idea or conclusion based on one ore more false assumptions,FAL uh see,
Fallacy: Ad Hominem,,attacking an opponent's character rather than the merits of his argument,,
Fallacy: Begging the Question,,occurs when the conclusion occurs as one of the premises,,
Fallacy: Circular Argument,,when your only reason for believing a premise is because you already accept the conclusion,,
Fallacy: Fallacy of Composition,,Making false inferences about a population based on a sample,,
Fallacy: Genetic Fallacy,,,,
Fallacy: Inflation of Conflict,,"argument that since experts debate a particular point, their entire field of knowledge is compromised",,
Fallacy: Needling,,"attempt to make opponent angry without addressing the argument, a delaying tactic",,
Fallacy: Non Sequitur,,a conclusion that doesn't follow that which preceded it,,
Fallacy: Red Herring,,"changing the subject, digression, diversionary tactic",,
Fallacy: Special Pleading (Stacking the Deck),,"using arguments that support a position, but disacknowleding arguments against the position",,
Fallacy: Straw Man (Fallacy of Extension),,attacking an exaggerated or caricatured version of a position,,
fallible; fallibility,,,,
fallout,,,,
fallow,,marked by inactivity,fallow periods,
false pretences,,,,
falsifiable,,,,
falsity,,,,
familial,,,,
familiar; unfamiliar,,,,
farcical,,humorously absurd or ludicrous,,
fascinate; fascination,,,,
fastidious,true,carefully attentive to detail; difficult to please,fas TID ee us,
fatal,,,,
fatigue,,,,
fatigued,,,,
fatuous,true,"foolish; inane, thoughtless",,
fault lines,,,,
faux,,false; artificial or imitation; fake,foh,
favoritism,,,,
fawn; fawning,,to show affection,fawn,didn't see through the fawning of all his underlings; sucking up of the professional fawner; fawned over her grandchildren
feckless,,possessing an air of casual indiffference; lacking definitiveness of purpose,,
feeble; feebly; feebleness,,weak; weakly (intellectually or morally); infirm; frail; incapacitated,feebly push for a resolution,
feedback,,,feedback mechanism; feedback loop,
feign; feigning,,to give a false appearance of: feign sleep; to represent falsely; pretend; to imitate so as to deceive: to fabricate; to fake,fayn,"feigning enthusiasm; feign blowing your nose; The prisoner feigned insanity as a defense to his crime.; feigned knowledge of…; feigned illness; (Any feigned action is a ""feint.""); The boxer kept feinting with his left hand."
felicity; felicitous,,"appropriate and well suited for a particular occasion; happiness; skillfulness, especially at pressing things; adeptness",,
fertile; fertility,,affording abundant possibilities for growth or development,,
